timestamp,image_path,true_label,rank,pred_label,confidence
2026-06-19T16:38:10.408982,C:\Users\이예은\A-EYE\test_images\train\band\band_01.jpg,band,1,fusidin,0.8304131031036377
2026-06-19T16:38:10.408982,C:\Users\이예은\A-EYE\test_images\train\band\band_01.jpg,band,2,madecassol,0.7437861561775208
2026-06-19T16:38:10.408982,C:\Users\이예은\A-EYE\test_images\train\band\band_01.jpg,band,3,patch,0.7266190648078918
2026-06-19T16:38:10.408982,C:\Users\이예은\A-EYE\test_images\train\band\band_01.jpg,band,4,festal,0.6493169665336609
2026-06-19T16:38:10.408982,C:\Users\이예은\A-EYE\test_images\train\band\band_01.jpg,band,5,bearse,0.6432297825813293
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,1,madecassol,0.7761203646659851
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,2,ezen6,0.6227226257324219
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,3,panpirin,0.6018568277359009
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,4,fusidin,0.569525957107544
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,5,eyedrop-multi,0.5082674026489258
2026-06-19T16:38:20.512614,C:\Users\이예은\A-EYE\test_images\train\band\band_03.jpg,band,6,geborin,0.3942075669765472
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,1,fusidin,0.784371554851532
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,2,madecassol,0.733168363571167
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,3,festal,0.4842947125434875
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,4,eyedrop-multi,0.4001151919364929
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,5,geborin,0.2790302038192749
2026-06-19T16:38:30.887824,C:\Users\이예은\A-EYE\test_images\train\band\band_04.jpg,band,6,patch,0.2653481364250183
2026-06-19T16:38:41.602214,C:\Users\이예은\A-EYE\test_images\train\band\band_05.jpg,band,1,madecassol,0.8829348087310791
2026-06-19T16:38:41.602214,C:\Users\이예은\A-EYE\test_images\train\band\band_05.jpg,band,2,patch,0.8249229788780212
2026-06-19T16:38:41.602214,C:\Users\이예은\A-EYE\test_images\train\band\band_05.jpg,band,3,fusidin,0.7123453617095947
